virus_taxid,virus_name,virus_family,virus_genus,vector_groups,vector_borne_to_humans,model_predicted,correctly_classified
3701623,Simplexvirus macropodidalpha,Orthoherpesviridae,Simplexvirus,mosquito,0,0,True
2805753,Aedes detritus orthomyxo-like virus,Orthomyxoviridae,,mosquito,0,1,False
2892532,Aedes orthomyxo-like virus 2,Orthomyxoviridae,,mosquito,0,0,True
1428582,Aransas Bay virus,Orthomyxoviridae,Thogotovirus,tick,0,0,True
3015522,Armigeres orthomyxo-like virus 1,Orthomyxoviridae,,mosquito,0,0,True
3239817,Bafoussam mosquito orthomyxovirus 1,Orthomyxoviridae,,mosquito,0,1,False
3239818,Bafoussam mosquito orthomyxovirus 2,Orthomyxoviridae,,mosquito,0,0,True
53017,Batken virus,Orthomyxoviridae,Thogotovirus,tick,0,1,False
1618189,Bourbon virus,Orthomyxoviridae,Thogotovirus,tick,1,1,True
2972262,Chuzhou Ortho tick virus 1,Orthomyxoviridae,,tick,0,1,False
2851136,Coloiado orthomyxo-like virus,Orthomyxoviridae,,mosquito,0,0,True
2805754,Culex modestus orthomyxo-like virus,Orthomyxoviridae,,mosquito,0,0,True
2665414,Culex orthomyxo-like virus,Orthomyxoviridae,,mosquito,0,0,True
3382194,Desert quaranjavirus,Orthomyxoviridae,Quaranjavirus,tick,0,0,True
2875329,Granville quaranjavirus,Orthomyxoviridae,Quaranjavirus,tick,0,1,False
2607737,Guadeloupe mosquito quaranja-like virus 1,Orthomyxoviridae,Quaranjavirus,mosquito,0,0,True
2607738,Guadeloupe mosquito quaranja-like virus 2,Orthomyxoviridae,Quaranjavirus,mosquito,0,0,True
2607739,Guadeloupe mosquito quaranja-like virus 3,Orthomyxoviridae,Quaranjavirus,mosquito,0,0,True
3406653,Heilongjiang tick quaranjavirus,Orthomyxoviridae,Quaranjavirus,tick,0,1,False
1027466,Jos virus,Orthomyxoviridae,Thogotovirus,tick,0,0,True
2972260,Linzhi Ortho tick virus 1,Orthomyxoviridae,,tick,0,0,True
2594109,Longchuan virus,Orthomyxoviridae,,mosquito,0,0,True
2486715,Longchuang virus,Orthomyxoviridae,Quaranjavirus,mosquito,0,0,True
2739773,Neke harbour virus,Orthomyxoviridae,,tick,0,0,True
2807198,Ohshima virus,Orthomyxoviridae,,tick,0,0,True
1955168,Orthomyxoviridae sp.,Orthomyxoviridae,,"biting_midge,mosquito,tick",0,0,True
2137161,Oz virus,Orthomyxoviridae,Thogotovirus,tick,1,1,True
2894005,Palmetto orthomyxo-like virus,Orthomyxoviridae,,mosquito,0,1,False
2902617,Pyongtaek Culex Orthomyxovirus,Orthomyxoviridae,,mosquito,0,0,True
2972261,Qingyang Ortho tick virus 1,Orthomyxoviridae,,tick,0,1,False
688437,Quaranjavirus johnstonense,Orthomyxoviridae,Quaranjavirus,tick,0,1,False
688436,Quaranjavirus quaranfilense,Orthomyxoviridae,Quaranjavirus,tick,0,1,False
2809795,Quaranjavirus sp.,Orthomyxoviridae,Quaranjavirus,tick,0,0,True
2697643,Rondonia thogotovirus,Orthomyxoviridae,Thogotovirus,tick,0,0,True
1927799,Sinu virus,Orthomyxoviridae,Thogotovirus,mosquito,0,0,True
3396564,Tajima tick virus,Orthomyxoviridae,,tick,0,0,True
2654565,Thailand tick thogotovirus,Orthomyxoviridae,Thogotovirus,tick,0,1,False
11318,Thogotovirus dhoriense,Orthomyxoviridae,Thogotovirus,tick,1,1,True
11569,Thogotovirus thogotoense,Orthomyxoviridae,Thogotovirus,tick,1,1,True
2992311,Tiliqua thogotovirus,Orthomyxoviridae,Thogotovirus,tick,0,1,False
2972257,Tongren Ortho tick virus 1,Orthomyxoviridae,,tick,0,0,True
1204161,Tyulek (Tjuloc) virus,Orthomyxoviridae,Quaranjavirus,tick,0,0,True
1428581,Upolu virus,Orthomyxoviridae,Thogotovirus,tick,0,1,False
2739774,Uumaja virus,Orthomyxoviridae,,tick,0,1,False
1963253,Whidbey virus,Orthomyxoviridae,,mosquito,0,0,True
1608128,Wuhan Mosquito Virus 3,Orthomyxoviridae,Quaranjavirus,mosquito,0,1,False
1608129,Wuhan Mosquito Virus 4,Orthomyxoviridae,Quaranjavirus,mosquito,0,0,True
1608130,Wuhan Mosquito Virus 5,Orthomyxoviridae,Quaranjavirus,mosquito,0,1,False
1608131,Wuhan Mosquito Virus 6,Orthomyxoviridae,Quaranjavirus,mosquito,0,0,True
1608132,Wuhan Mosquito Virus 7,Orthomyxoviridae,Quaranjavirus,mosquito,0,0,True
2952025,XiangYun orthomyxo-like virus 1,Orthomyxoviridae,,mosquito,0,1,False
2952026,XiangYun orthomyxo-like virus 2,Orthomyxoviridae,,mosquito,0,0,True
2952027,XiangYun orthomyxo-like virus 3,Orthomyxoviridae,,mosquito,0,0,True
2952028,XiangYun orthomyxo-like virus 4,Orthomyxoviridae,,mosquito,0,0,True
2952029,XiangYun orthomyxo-like virus 5,Orthomyxoviridae,,mosquito,0,0,True
2972264,Xiangxi Ortho tick virus 1,Orthomyxoviridae,,tick,0,0,True
3433932,Xuecheng tick thogotovirus,Orthomyxoviridae,Thogotovirus,tick,0,1,False
2972258,Yanbian Ortho tick virus 1,Orthomyxoviridae,,tick,0,0,True
2972259,Yushu Ortho tick virus 1,Orthomyxoviridae,,tick,0,0,True
2219899,Zambezi tick virus 1,Orthomyxoviridae,Quaranjavirus,tick,0,1,False
2972255,Zhangzhou Ortho tick virus 1,Orthomyxoviridae,,tick,0,0,True
2972263,Zhangzhou Ortho tick virus 2,Orthomyxoviridae,,tick,0,0,True
3239317,Chihuahua culicoides totivirus 1,Orthototiviridae,Totivirus,biting_midge,0,0,True
2699153,Yongshan totivirus,Orthototiviridae,,biting_midge,0,0,True
2583416,Tick-associated papillomavirus lsx,Papillomaviridae,Dyoxipapillomavirus,tick,0,0,True
1034800,uncultured Papillomavirus,Papillomaviridae,,mosquito,0,0,True
2593991,peste-des-petits-ruminants virus,Paramyxoviridae,Morbillivirus,biting_midge,0,1,False
2759331,Chaq-like virus,Partitiviridae,,biting_midge,0,0,True
3239313,Chihuahua culicoides partitivirus 1,Partitiviridae,,biting_midge,0,0,True
3239314,Chihuahua culicoides partitivirus 2,Partitiviridae,,biting_midge,0,0,True
1955170,Partitiviridae sp.,Partitiviridae,,biting_midge,0,0,True
3076945,USA partiti-like virus,Partitiviridae,,biting_midge,0,0,True
272636,Adeno-associated virus,Parvoviridae,Dependoparvovirus,tick,1,1,True
194675,Aedes albopictus C6/36 cell densovirus,Parvoviridae,Brevipenbrevirus,mosquito,0,1,False
35338,Aedes albopictus densovirus,Parvoviridae,Brevipenbrevirus,mosquito,0,0,True
1513199,Aedes albopictus densovirus 2,Parvoviridae,Brevipenbrevirus,mosquito,0,1,False
1914448,Aedes albopictus densovirus 5,Parvoviridae,Brevipenbrevirus,mosquito,0,0,True
28314,Aleutian mink disease parvovirus,Parvoviridae,Amdoparvovirus,tick,0,0,True
2050976,Ambidensovirus sp.,Parvoviridae,Protoambidensovirus,mosquito,0,1,False
2689332,Atrato Denso-like virus,Parvoviridae,,mosquito,0,0,True
2689333,Atrato Denso-like virus 1,Parvoviridae,,mosquito,0,0,True
3077360,Bee densovirus 6,Parvoviridae,,mosquito,0,0,True
1883111,Bocaparvovirus sp.,Parvoviridae,Bocaparvovirus,tick,0,0,True
3399804,Boketu tick virus 1,Parvoviridae,,tick,0,0,True
2094261,Bombus cryptarum densovirus,Parvoviridae,,mosquito,0,0,True
1096141,Bovine hokovirus 2,Parvoviridae,Tetraparvovirus,tick,0,0,True
10784,Bovine parvovirus,Parvoviridae,Bocaparvovirus,tick,0,1,False
3070203,Broome densovirus,Parvoviridae,Muscodensovirus,mosquito,0,0,True
3043486,Buriti densovirus,Parvoviridae,,mosquito,0,0,True
3118306,Burswood densovirus,Parvoviridae,Scindoambidensovirus,mosquito,0,0,True
10788,Canine parvovirus,Parvoviridae,Protoparvovirus,tick,0,1,False
185638,Culex pipiens densovirus,Parvoviridae,Protoambidensovirus,mosquito,0,0,True
3416579,Culex pipiens densovirus 2,Parvoviridae,,mosquito,0,0,True
3345198,Culex quinquefasciatus associated densovirus,Parvoviridae,Protoambidensovirus,mosquito,0,0,True
2030127,Densovirinae sp.,Parvoviridae,Protoambidensovirus,"mosquito,tick",0,0,True
2713454,Dog feces bidnaparvovirus,Parvoviridae,,tick,0,0,True
2027355,Lone star tick densovirus 1,Parvoviridae,,tick,0,0,True
1607696,Mosquito densovirus HB-3,Parvoviridae,Brevipenbrevirus,mosquito,0,1,False
3701622,Orthopteran miniambidensovirus,Parvoviridae,Miniambidensovirus,mosquito,0,0,True
2839030,Ovine copiparvovirus,Parvoviridae,Copiparvovirus,tick,0,1,False
3348409,Ovine parvovirus,Parvoviridae,,tick,0,0,True
1940570,Parvoviridae sp.,Parvoviridae,,tick,0,1,False
1126383,Porcine parvovirus 2,Parvoviridae,Tetraparvovirus,mosquito,0,0,True
1126384,Porcine parvovirus 3,Parvoviridae,Tetraparvovirus,mosquito,0,1,False
707546,Porcine parvovirus 4,Parvoviridae,Copiparvovirus,tick,0,1,False
1820046,Porcine parvovirus 7,Parvoviridae,Chaphamavirus,tick,0,1,False
3042448,Psittaciform parvoviridae sp.,Parvoviridae,,tick,0,0,True
2555547,Roe deer copiparvovirus,Parvoviridae,Copiparvovirus,tick,0,0,True
1217821,Sibine fusca densovirus,Parvoviridae,Iteradensovirus,tick,0,1,False
1864484,bovine bocaparvovirus 2,Parvoviridae,Bocaparvovirus,tick,0,1,False
172296,bovine parvovirus 2,Parvoviridae,Copiparvovirus,tick,0,1,False
748192,uncultured densovirus,Parvoviridae,,mosquito,0,1,False
2303487,Abras virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2036702,Achiote virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
11582,Aino virus,Peribunyaviridae,Orthobunyavirus,"biting_midge,mosquito",0,0,True
70566,Akabane virus,Peribunyaviridae,Orthobunyavirus,"biting_midge,mosquito",0,1,False
1552846,Alajuela virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1642852,Anadyr virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
35307,Anopheles A virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
35308,Anopheles B virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
3416581,Atherstone virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2609058,Baakal virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2748238,Barranqueras virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
80942,Batai virus,Peribunyaviridae,Orthobunyavirus,"mosquito,tick",0,0,True
1819302,Belmont virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
2748206,Bertioga virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
273358,Birao virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
611708,Boraceia virus,Peribunyaviridae,Orthobunyavirus,mosquito,1,1,True
2849744,Botambi virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
273349,Bozo virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
348014,Bruconha virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
1628184,Bunyaviridae environmental sample,Peribunyaviridae,,mosquito,0,1,False
2748203,Bushbush virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
159140,Buttonwillow virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
2572766,Caimito virus,Peribunyaviridae,Pacuvirus,biting_midge,0,1,False
1552845,Calchaqui virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
178787,California encephalitis serogroup virus LEIV,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
35305,California encephalitis virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
365047,Calovo virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
192196,Caraparu virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
3050965,Caraparu-like virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2895600,Cimo peribunyavirus I,Peribunyaviridae,,mosquito,0,0,True
2895602,Cimo peribunyavirus III,Peribunyaviridae,,mosquito,0,0,True
2972293,Dandong tick virus 1,Peribunyaviridae,,tick,0,0,True
3381433,Desert peribunya-like virus,Peribunyaviridae,,tick,0,0,True
3416580,Deva virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
159142,Douglas virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
1501396,Ebinur lake virus,Peribunyaviridae,Orthobunyavirus,"mosquito,tick",1,0,False
1821545,Enseada virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
35313,Gamboa virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1764076,Gan Gan virus,Peribunyaviridae,Orthobunyavirus,mosquito,1,0,False
11574,Germiston virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
3438446,Gryffinivirus sp.,Peribunyaviridae,Gryffinivirus,mosquito,0,0,True
1678234,Guama virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
2748208,Guaratuba virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
348010,Gumbo Limbo virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2972286,Guyuan tick virus 1,Peribunyaviridae,,tick,0,0,True
3451421,Haemaphysalis longicornis associated bunya-like virus 1,Peribunyaviridae,,tick,0,1,False
3451422,Haemaphysalis longicornis associated bunya-like virus 2,Peribunyaviridae,,tick,0,0,True
3451423,Haemaphysalis longicornis associated bunya-like virus 3,Peribunyaviridae,,tick,0,0,True
3451424,Haemaphysalis longicornis associated bunya-like virus 4,Peribunyaviridae,,tick,0,0,True
3451425,Haemaphysalis longicornis associated bunya-like virus 5,Peribunyaviridae,,tick,0,0,True
3451426,Haemaphysalis longicornis associated bunya-like virus 6,Peribunyaviridae,,tick,0,0,True
3696584,Haemaphysalis longicornis associated bunya-like virus 7,Peribunyaviridae,,tick,0,0,True
2972288,Haerbin tick virus 2,Peribunyaviridae,,tick,0,1,False
2884278,Hedwig virus,Peribunyaviridae,Gryffinivirus,mosquito,0,0,True
2972291,Heihe tick virus 1,Peribunyaviridae,,tick,0,0,True
3052241,Herbevirus herberti,Peribunyaviridae,Herbevirus,mosquito,0,0,True
2036703,Infirmatus virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
45269,Inkoo virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
348026,Itaqui virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1752929,Ixodes scapularis bunyavirus,Peribunyaviridae,,tick,0,1,False
35511,Jamestown Canyon virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
198421,Jamestown Canyon-like virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
35513,Jerry Slough virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2972283,Jinan tick virus 1,Peribunyaviridae,,tick,0,0,True
2748196,Ketapang virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
35514,Keystone virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1531283,Khasan virus,Peribunyaviridae,,tick,0,0,True
507486,Khatanga virus,Peribunyaviridae,Orthobunyavirus,mosquito,1,0,False
1819306,Kowanyama virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1814226,Kuriyama virus,Peribunyaviridae,,tick,0,0,True
11577,La Crosse virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2847820,Laguna Larga virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2609059,Lakamha virus,Peribunyaviridae,Lakivirus,mosquito,0,0,True
2748212,Las Maloyas virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
999729,Leanyer virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,0,True
2656737,Lednice virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1819303,Little Sussex virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
442712,M'Poko virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
11575,Maguari virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
1763623,Mahogany hammock virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1590835,Mapputta virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
35515,Melao virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2748236,Mirim-like virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
2748231,Moriche virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2972289,Nanchang tick virus 1,Peribunyaviridae,,tick,0,1,False
2972285,Nanning tick virus 3,Peribunyaviridae,,tick,0,1,False
348009,Nepuyo virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
273357,Ngari virus,Peribunyaviridae,Orthobunyavirus,tick,1,0,False
442713,Nola virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
80937,Northway virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
35316,Nyando virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
2748254,Okola virus,Peribunyaviridae,Orthobunyavirus,mosquito,1,1,True
118655,Oropouche virus,Peribunyaviridae,Orthobunyavirus,"biting_midge,mosquito",0,1,False
1933178,Orthobunyavirus akabaneense,Peribunyaviridae,Orthobunyavirus,"biting_midge,mosquito",0,1,False
3431265,Orthobunyavirus barritaense,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
3052376,Orthobunyavirus botambiense,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
3052378,Orthobunyavirus brazoriaense,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
3052384,Orthobunyavirus bwambaense,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
3707041,Orthobunyavirus ilhesaense,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
3052405,Orthobunyavirus kernense,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
3052427,Orthobunyavirus olifantsvleiense,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
3052440,Orthobunyavirus shuniense,Peribunyaviridae,Orthobunyavirus,"biting_midge,mosquito",1,0,False
3052441,Orthobunyavirus simbuense,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
2219997,Orthobunyavirus sp.,Peribunyaviridae,Orthobunyavirus,"biting_midge,mosquito,tick",0,1,False
3052444,Orthobunyavirus tacaiumaense,Peribunyaviridae,Orthobunyavirus,mosquito,1,1,True
3052445,Orthobunyavirus tahynaense,Peribunyaviridae,Orthobunyavirus,mosquito,1,1,True
3060500,Orthobunyavirus tangaense,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
3052456,Orthobunyavirus wyeomyiae,Peribunyaviridae,Orthobunyavirus,mosquito,1,1,True
181003,Oya virus,Peribunyaviridae,Orthobunyavirus,biting_midge,1,1,True
2748244,Pacora virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2748237,Pahayokee virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1819304,Parker's Farm virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
35318,Patois virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
159151,Peaton virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,0,True
543721,Phasi Charoen virus 1,Peribunyaviridae,,mosquito,0,0,True
3433938,Plateau tick peribunyavirus,Peribunyaviridae,,tick,0,0,True
2848037,Pongola virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
273360,Potosi virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
2036955,Pueblo Viejo virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1608059,Qingnian mosquito virus,Peribunyaviridae,,mosquito,0,0,True
2748240,Resistencia virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
159138,Sabo virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,0,True
45767,San Angelo virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2748232,San Juan virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
159141,Sathuperi virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
1133363,Schmallenberg virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
45768,Serra do Navio virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
159150,Shamonda virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
2303490,Shark River virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
273359,Shokwe virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
11580,Snowshoe hare virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1619662,Soft tick bunyavirus,Peribunyaviridae,,tick,0,0,True
45270,Tahyna virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
3048655,Tai orthobunyavirus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2748249,Tanga virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2922982,Taniyama virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
1623310,Tataguine virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2748250,Termeil virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
66264,Tinaroo virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,1,False
273343,Tlacotalpan virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2972292,Tonghua tick virus 1,Peribunyaviridae,,tick,0,0,True
2972295,Tongren Perib tick virus 2,Peribunyaviridae,,tick,0,0,True
2972290,Tongren tick virus 1,Peribunyaviridae,,tick,0,1,False
35516,Trivittatus virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1678230,Trubanaman virus,Peribunyaviridae,Orthobunyavirus,mosquito,1,1,True
35320,Turlock virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
552554,Umbre virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
2748252,Wanowrie virus,Peribunyaviridae,,tick,1,0,False
500324,Weldona virus,Peribunyaviridae,Orthobunyavirus,biting_midge,0,0,True
1678231,Witwatersrand virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
1608142,Xinzhou Mosquito Virus,Peribunyaviridae,,mosquito,0,0,True
159137,Yaba-7 virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,1,False
1819307,Yacaaba virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
2972294,Yushu tick virus 1,Peribunyaviridae,,tick,0,1,False
2972287,Zhangye tick virus 1,Peribunyaviridae,,tick,0,0,True
2972284,Zhangzhou tick virus 1,Peribunyaviridae,,tick,0,0,True
1608147,Zhee Mosquito virus,Peribunyaviridae,,mosquito,0,0,True
2748234,wongal virus,Peribunyaviridae,Orthobunyavirus,mosquito,0,0,True
1746058,Bole tick virus 4,Pestiviridae,Boletivirus,tick,0,0,True
358764,Border disease virus,Pestiviridae,Orthopestivirus,tick,0,1,False
11099,Bovine viral diarrhea virus 1,Pestiviridae,Orthopestivirus,"biting_midge,mosquito",1,1,True
3061651,Dermacentor pesti-like virus,Pestiviridae,Orthopestivirus,tick,0,1,False
2950731,Dermacentor reticulatus pestivirus-like virus 1,Pestiviridae,Orthopestivirus,tick,0,1,False
2713211,Dongyang pangolin virus,Pestiviridae,Orthopestivirus,tick,0,1,False
31657,Pestivirus sp.,Pestiviridae,Orthopestivirus,tick,0,0,True
2704634,Trinbago virus,Pestiviridae,Orthopestivirus,tick,0,1,False
2744401,Carapha virus,Phasmaviridae,,biting_midge,0,1,False
2809670,Phasmaviridae sp.,Phasmaviridae,,biting_midge,0,0,True
2800873,Adagum virus,Phenuiviridae,Phlebovirus,tick,0,0,True
3056570,Aedes phasivirus,Phenuiviridae,,mosquito,0,0,True
3118734,Albatross Island virus,Phenuiviridae,Bandavirus,tick,0,1,False
2977130,Alxa tick phlebovirus,Phenuiviridae,Phlebovirus,tick,0,0,True
2847048,American dog tick virus,Phenuiviridae,Uukuvirus,tick,0,1,False
3055746,Anopheles phasivirus 1,Phenuiviridae,Phasivirus,mosquito,0,0,True
3055747,Anopheles phasivirus 2,Phenuiviridae,Phasivirus,mosquito,0,0,True
2689369,Atrato Gouko-like virus 1,Phenuiviridae,,mosquito,0,0,True
3239341,Bafoussam mosquito bunyavirus 1,Phenuiviridae,Mobuvirus,mosquito,0,0,True
3239344,Bafoussam mosquito bunyavirus 2,Phenuiviridae,Mobuvirus,mosquito,0,0,True
3393475,Balambala tick phenuivirus,Phenuiviridae,,tick,0,0,True
2748958,Bandavirus dabieense,Phenuiviridae,Bandavirus,tick,1,1,True
2972301,Bangxi Phenu tick virus 1,Phenuiviridae,,tick,0,1,False
1213620,Bhanja virus,Phenuiviridae,Bandavirus,tick,0,0,True
1526522,Blacklegged tick phlebovirus 2,Phenuiviridae,Phlebovirus,tick,0,1,False
2767007,Bogoria virus,Phenuiviridae,Phlebovirus,tick,0,0,True
1608040,Bole Tick Virus 1,Phenuiviridae,Uukuvirus,tick,0,1,False
2755150,Broome phasivirus 1,Phenuiviridae,Phasivirus,mosquito,0,0,True
3466800,Brown dog tick phlebovirus,Phenuiviridae,Phlebovirus,tick,0,0,True
2704635,Brown dog tick phlebovirus 1,Phenuiviridae,Uukuvirus,tick,0,1,False
2704636,Brown dog tick phlebovirus 2,Phenuiviridae,Uukuvirus,tick,0,1,False
487102,Catch-me-cave virus,Phenuiviridae,Uukuvirus,tick,0,0,True
1608043,Changping Tick Virus 1,Phenuiviridae,Uukuvirus,tick,0,0,True
3064058,Cheeloo uukuvirus,Phenuiviridae,Uukuvirus,tick,0,1,False
1010666,Chize virus,Phenuiviridae,Uukuvirus,tick,0,1,False
2895604,Cimo phenuivirus II,Phenuiviridae,,mosquito,0,0,True
2895607,Cimo phenuivirus V,Phenuiviridae,,mosquito,0,0,True
2895608,Cimo phenuivirus VI,Phenuiviridae,,mosquito,0,1,False
3055749,Culex goukovirus 1,Phenuiviridae,Goukovirus,mosquito,0,0,True
3056571,Culex goukovirus 2,Phenuiviridae,,mosquito,0,0,True
3056572,Culex goukovirus 3,Phenuiviridae,,mosquito,0,0,True
3055745,Culex hudovirus,Phenuiviridae,Hudovirus,mosquito,0,0,True
3056569,Culex phenuivirus 1,Phenuiviridae,,mosquito,0,0,True
3055751,Culex pheuivirus 3,Phenuiviridae,,mosquito,0,0,True
2686043,Culex pseudovishnui bunya-like virus,Phenuiviridae,Mobuvirus,mosquito,0,0,True
3055744,Culex tenui-like virus,Phenuiviridae,,mosquito,0,0,True
1457166,Cumuto virus,Phenuiviridae,Goukovirus,mosquito,0,0,True
1608046,Dabieshan tick virus,Phenuiviridae,Uukuvirus,tick,0,1,False
2972304,Dali Phenu tick virus 1,Phenuiviridae,,tick,0,1,False
2950733,Dermacentor reticulatus uukuvirus,Phenuiviridae,Uukuvirus,tick,0,0,True
3061653,Dermacentor uukuvirus,Phenuiviridae,Uukuvirus,tick,0,1,False
2980601,Enontekio phenui-like virus 1,Phenuiviridae,,mosquito,0,0,True
2980602,Enontekio phenui-like virus 2,Phenuiviridae,,mosquito,0,0,True
2980603,Enontekio phenui-like virus 3,Phenuiviridae,,mosquito,0,0,True
2980604,Enontekio phenui-like virus 4,Phenuiviridae,,mosquito,0,0,True
2980605,Enontekio phenui-like virus 5,Phenuiviridae,,mosquito,0,0,True
2860948,Etutanne virus 2,Phenuiviridae,Mobuvirus,mosquito,0,0,True
