accession,description,seq_length
NC_008725.1,"NC_008725.1 Maruca vitrata MNPV, complete genome",111953
NC_008734.1,"NC_008734.1 Mal de Rio Cuarto virus segment S10, complete genome",1798
NC_008735.1,"NC_008735.1 Mal de Rio Cuarto virus segment S5, complete genome",3162
NC_008793.1,"NC_008793.1 Honeysuckle yellow vein mosaic virus-[Kagoshima], complete genome",2762
NC_008794.1,"NC_008794.1 Crassocephalum yellow vein virus - Jinghong, complete genome",2745
NC_008798.1,"NC_008798.1 Staphylococcus phage phiETA2 DNA, complete genome, strain: TY94",43265
NC_008799.1,"NC_008799.1 Staphylococcus phage phiETA3 DNA, complete genome, strain: TY32",43282
NC_008824.1,"NC_008824.1 Narcissus degeneration virus, complete genome",9816
NC_008946.1,"NC_008946.1 Hyposoter fugitivus ichnovirus segment C16, complete genome",4692
NC_008947.1,"NC_008947.1 Hyposoter fugitivus ichnovirus segment A1, complete genome",2755
NC_008950.1,"NC_008950.1 Hyposoter fugitivus ichnovirus segment D5, complete genome",5254
NC_008951.1,"NC_008951.1 Hyposoter fugitivus ichnovirus segment B11, complete genome",3590
NC_008952.1,"NC_008952.1 Hyposoter fugitivus ichnovirus segment C2, complete genome",4063
NC_008953.1,"NC_008953.1 Hyposoter fugitivus ichnovirus segment B17, complete genome",3935
NC_009010.1,"NC_009010.1 Dioscorea bacilliform virus, complete genome",7261
NC_009011.2,"NC_009011.2 Spodoptera frugiperda MNPV virus, complete genome",131331
NC_009014.1,"NC_009014.1 Erwinia amylovora phage Era103, complete genome",45445
NC_009015.1,"NC_009015.1 Burkholderia ambifaria phage BcepF1, complete genome",72415
NC_009016.1,"NC_009016.1 Vibrio phage VP882, complete genome",38197
NC_009017.1,"NC_009017.1 Nootka lupine vein-clearing virus, complete genome",4172
NC_009018.1,"NC_009018.1 Streptococcus phage phi3396, complete genome",38528
NC_009019.1,"NC_009019.1 Tylonycteris bat coronavirus HKU4, complete genome",30286
NC_009020.1,"NC_009020.1 Pipistrellus bat coronavirus HKU5, complete genome",30482
NC_009021.1,"NC_009021.1 Rousettus bat coronavirus HKU9, complete genome",29114
NC_009026.2,"NC_009026.2 Bussuquara virus, complete genome",10815
NC_009028.2,"NC_009028.2 Ilheus virus, complete genome",10755
NC_009029.2,"NC_009029.2 Kokobera virus, complete genome",10874
NC_009031.1,"NC_009031.1 Tomato leaf curl Seychelles virus, complete genome",2742
NC_009041.1,"NC_009041.1 Rehmannia mosaic virus, complete genome",6395
NC_009087.2,"NC_009087.2 Chrysanthemum virus B, complete genome",8855
NC_009127.1,"NC_009127.1 Cyprinid herpesvirus 3, complete genome",295146
NC_009224.1,"NC_009224.1 Botryotinia fuckeliana totivirus 1, complete genome",5261
NC_009225.1,"NC_009225.1 Torque teno midi virus 1, complete genome",3245
NC_009231.1,"NC_009231.1 Clostridioides phage phiC2, complete genome",56538
NC_009232.2,"NC_009232.2 Salmonella phage SETP3, complete genome",42572
NC_009233.1,"NC_009233.1 Heliothis virescens ascovirus 3e, complete genome",186262
NC_009234.1,"NC_009234.1 Burkholderia phage phiE202 chromosome, complete genome",35741
NC_009235.2,"NC_009235.2 Burkholderia phage phi644-2, complete genome",48674
NC_009236.1,"NC_009236.1 Burkholderia phage phiE12-2, complete genome",36690
NC_009237.1,"NC_009237.1 Burkholderia phage phiE255 chromosome, complete genome",37446
NC_009238.1,"NC_009238.1 KI polyomavirus Stockholm 60, complete genome",5040
NC_009240.1,"NC_009240.1 Gryllus bimaculatus nudivirus, complete genome",96944
NC_009333.1,"NC_009333.1 Human herpesvirus 8 strain GK18, complete genome",137969
NC_009334.1,"NC_009334.1 Human herpesvirus 4, complete genome",172764
NC_009354.1,"NC_009354.1 Sida yellow vein Madurai virus, complete genome",2753
NC_009382.1,"NC_009382.1 Ralstonia phage phiRSA1, complete genome",38760
NC_009383.1,"NC_009383.1 Phlox virus S, complete genome",8590
NC_009424.5,NC_009424.5 Woolly monkey sarcoma virus,5779
NC_009447.1,"NC_009447.1 Burkholderia phage BcepGomr, complete genome",52414
NC_009448.2,"NC_009448.2 Saffold virus, complete genome",8115
NC_009449.1,"NC_009449.1 Honeysuckle yellow vein beta-[Japan:Fukui:2001], complete genome",1336
NC_009450.1,"NC_009450.1 Tobacco leaf curl Japan betasatellite DNA, complete genome",1350
NC_009451.1,"NC_009451.1 Clerodendron yellow mosaic virus, complete genome",2760
NC_009452.1,"NC_009452.1 Acidianus bottle-shaped virus, complete genome",23814
NC_009489.1,"NC_009489.1 Mapuera virus, complete genome",15486
NC_009503.1,"NC_009503.1 Spodoptera litura granulovirus, complete genome",124121
NC_009514.1,"NC_009514.1 Phage cdtI DNA, complete genome",47021
NC_009519.1,"NC_009519.1 Fragaria chiloensis cryptic virus RNA 1, complete genome",1734
NC_009526.1,"NC_009526.1 Staphylococcus phage 80alpha, complete genome",43864
NC_009527.1,"NC_009527.1 European bat lyssavirus 1, complete genome",11966
NC_009528.2,"NC_009528.2 European bat lyssavirus 2 isolate RV1333, complete genome",11930
NC_009530.1,"NC_009530.1 Brevicoryne brassicae picorna-like virus, complete genome",10180
NC_009531.1,"NC_009531.1 Cyanophage Syn5, complete genome",46214
NC_009532.1,"NC_009532.1 Okra mosaic virus, complete genome",6223
NC_009533.1,"NC_009533.1 Maize white line mosaic virus, complete genome",4293
NC_009535.1,"NC_009535.1 Cotton leaf curl Multan virus satellite DNA beta, complete genome",1346
NC_009536.1,"NC_009536.1 Citrus variegation virus RNA 3, complete genome",2309
NC_009539.1,"NC_009539.1 WU Polyomavirus, complete genome",5229
NC_009540.1,"NC_009540.1 Enterobacteria phage TLS, complete genome",49902
NC_009541.1,"NC_009541.1 Propionibacterium phage PA6, complete genome",29739
NC_009542.2,"NC_009542.2 Aeromonas phage phiO18P, complete genome",33985
NC_009543.1,"NC_009543.1 Xanthomonas phage Xop411, complete genome",44520
NC_009551.1,"NC_009551.1 Phormidium phage Pf-WMP3, complete genome",43249
NC_009552.3,"NC_009552.3 Geobacillus virus E2, complete genome",40863
NC_009553.1,"NC_009553.1 Tobacco leaf curl Thailand virus, complete genome",2752
NC_009554.1,"NC_009554.1 Lactobacillus phage LL-H, complete genome",34659
NC_009556.1,"NC_009556.1 Mimosa yellow leaf curl virus satellite DNA beta, complete genome",1358
NC_009558.1,"NC_009558.1 Sida yellow vein Vietnam virus satellite DNA beta, complete genome",1340
NC_009559.1,"NC_009559.1 Erectites yellow mosaic virus satellite DNA beta, complete genome",1342
NC_009560.1,"NC_009560.1 Tomato yellow leaf curl Vietnam virus satellite DNA beta, complete genome",1356
NC_009561.1,"NC_009561.1 Lindernia anagallis yellow vein virus satellite DNA beta, complete genome",1346
NC_009562.1,"NC_009562.1 Alternanthera yellow vein virus satellite DNA beta, complete genome",1344
NC_009563.1,"NC_009563.1 Sida yellow vein Vietnam virus-associated DNA 1, complete genome",1372
NC_009564.1,"NC_009564.1 Mimosa yellow leaf curl virus-associated DNA 1, complete genome",1378
NC_009570.1,"NC_009570.1 Tomato leaf curl Philippine betasatellite DNA, complete genome, isolate: Laguna2",1349
NC_009571.1,"NC_009571.1 Honeysuckle yellow vein mosaic disease associated satellite DNA beta-[Ibaraki], complete genome",1346
NC_009597.1,"NC_009597.1 Pyrococcus abyssi virus 1, complete genome",18098
NC_009603.1,"NC_009603.1 Microbacterium phage Min1, complete genome",46365
NC_009604.1,"NC_009604.1 Burkholderia phage BcepNY3, complete genome",47382
NC_009640.1,"NC_009640.1 Porcine rubulavirus, complete genome",15180
NC_009642.1,"NC_009642.1 Bell pepper mottle tobamovirus, complete genome",6375
NC_009643.1,"NC_009643.1 Actinomyces phage Av-1, complete genome",17171
NC_009657.1,"NC_009657.1 Scotophilus bat coronavirus 512, complete genome",28203
NC_009731.1,"NC_009731.1 Okra leaf curl Mali virus satellite DNA beta, complete genome",1346
NC_009737.2,"NC_009737.2 Bacillus phage 1, complete genome",35055
NC_009741.1,"NC_009741.1 Basella rugose mosaic virus, complete genome",9804
NC_009742.1,"NC_009742.1 Telosma mosaic virus, complete genome",9689
NC_009744.1,"NC_009744.1 Wild tomato mosaic virus, complete genome",9659
NC_009745.1,"NC_009745.1 Banana bract mosaic virus, complete genome",9711
NC_009756.1,"NC_009756.1 Marine RNA virus SOG, complete genome",4449
NC_009757.1,"NC_009757.1 Marine RNA virus JP-A, complete genome",9236
NC_009758.1,"NC_009758.1 Marine RNA virus JP-B, complete genome",8926
NC_009759.1,"NC_009759.1 Potato rough dwarf virus, complete genome",8404
NC_009760.1,"NC_009760.1 Bacillus phage 0305phi8-36, complete genome",218948
NC_009764.1,"NC_009764.1 Coleus vein necrosis virus, complete genome",8727
NC_009803.1,"NC_009803.1 Thermus phage P23-45, complete genome",84201
NC_009804.1,"NC_009804.1 Thermus phage P74-26, complete genome",83319
NC_009805.1,"NC_009805.1 Wheat eqlid mosaic virus, complete genome",9636
NC_009810.1,"NC_009810.1 Listeria phage A500, complete genome",38867
NC_009811.2,"NC_009811.2 Listeria phage A511, complete genome",137619
NC_009812.1,"NC_009812.1 Listeria phage B025, complete genome",42653
NC_009813.1,"NC_009813.1 Listeria phage B054, complete genome",48172
NC_009814.1,"NC_009814.1 Listeria phage P35, complete genome",35822
NC_009815.1,"NC_009815.1 Listeria phage A006, complete genome",38124
NC_009816.1,"NC_009816.1 Corynebacterium phage P1201, complete genome",70579
NC_009817.1,"NC_009817.1 Lactococcus phage KSY1, complete genome",79232
NC_009818.1,"NC_009818.1 Pseudomonas phage MP22, complete genome",36409
NC_009819.1,"NC_009819.1 Streptococcus phage P9, complete genome",40539
NC_009820.1,"NC_009820.1 Mycobacterium phage Tweety, complete genome",58692
NC_009821.1,"NC_009821.1 Enterobacteria phage Phi1, complete genome",164270
NC_009823.1,"NC_009823.1 Hepatitis C virus genotype 2, complete genome",9711
NC_009824.1,"NC_009824.1 Hepatitis C virus genotype 3, genome",9456
NC_009825.1,"NC_009825.1 Hepatitis C virus genotype 4, genome",9355
NC_009826.1,"NC_009826.1 Hepatitis C virus genotype 5, genome",9343
NC_009827.1,"NC_009827.1 Hepatitis C virus genotype 6, complete genome",9628
NC_009875.1,"NC_009875.1 Staphylococcus phage SAP-2, complete genome",17938
NC_009877.1,"NC_009877.1 Mycobacterium phage U2, complete genome",51277
NC_009878.1,"NC_009878.1 Mycobacterium phage Bethlehem, complete genome",52250
NC_009884.1,"NC_009884.1 Acidianus filamentous virus 2, complete genome",31787
NC_009889.1,"NC_009889.1 RD114 retrovirus, complete genome",8406
NC_009890.1,"NC_009890.1 Black raspberry virus F, complete genome",5077
NC_009891.1,"NC_009891.1 Seal picornavirus type 1, complete genome",6718
NC_009892.1,"NC_009892.1 Peach chlorotic mottle virus, complete genome",9005
NC_009893.1,"NC_009893.1 Tomato yellow dwarf disease associated satellite DNA beta-[Kochi] virus, complete genome",1356
NC_009898.1,"NC_009898.1 Paramecium bursaria Chlorella virus NY2A, complete genome",368683
NC_009899.1,"NC_009899.1 Paramecium bursaria Chlorella virus AR158, complete genome",344691
NC_009903.1,"NC_009903.1 Mesta yellow vein mosaic virus-associated DNA beta, complete genome",1354
NC_009904.1,"NC_009904.1 Enterococcus phage phiEF24C, complete genome",142072
NC_009935.1,"NC_009935.1 Pseudomonas phage LKD16, complete genome",43200
NC_009936.1,"NC_009936.1 Pseudomonas phage LKA1, complete genome",41593
NC_009942.1,"NC_009942.1 West Nile virus lineage 1, complete genome",11029
NC_009951.1,"NC_009951.1 Squirrel monkey polyomavirus, complete genome",5075
NC_009965.1,"NC_009965.1 Acidianus rod-shaped virus 1, complete genome",24655
NC_009986.1,"NC_009986.1 Sulfolobus spindle-shaped virus 4, complete genome",15135
NC_009987.1,"NC_009987.1 Spiroplasma kunkelii virus SkV1_CR2-3x, complete genome",7870
NC_009988.1,"NC_009988.1 Rhinolophus bat coronavirus HKU2, complete genome",27165
NC_009989.1,"NC_009989.1 Snake adenovirus, complete genome",27751
NC_009990.1,"NC_009990.1 Thalassomonas phage BA3, complete genome",37313
NC_009991.1,"NC_009991.1 Phlox Virus B, complete genome",9058
NC_009992.1,"NC_009992.1 Plum bark necrosis and stem pitting-associated virus, complete genome",14214
NC_009993.2,"NC_009993.2 Mycobacterium phage Giles, complete genome",53746
NC_009994.1,"NC_009994.1 Tobacco vein banding mosaic virus, complete genome",9570
NC_009995.1,"NC_009995.1 Moroccan watermelon mosaic virus, complete genome",9730
NC_009996.1,"NC_009996.1 Human rhinovirus C, complete genome",7099
NC_010105.1,"NC_010105.1 Enterobacteria phage JS98, complete genome",170523
NC_010106.1,"NC_010106.1 Enterobacteria phage phiEcoM-GJ1, complete genome",52975
NC_010107.1,"NC_010107.1 Bandicoot papillomatosis carcinomatosis virus type 1, complete genome",7295
NC_010116.1,"NC_010116.1 Pseudomonas phage YuA, complete genome",58663
NC_010126.1,"NC_010126.1 Tomato yellow leaf curl virus-associated DNA beta, complete genome",1371
NC_010147.1,"NC_010147.1 Staphylococcus phage phiMR11 DNA, complete genome",43011
NC_010148.1,"NC_010148.1 Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta, complete genome",1361
NC_010152.1,"NC_010152.1 Acidianus filamentous virus 6, complete genome",39577
NC_010153.1,"NC_010153.1 Acidianus filamentous virus 7, complete genome",36895
NC_010154.1,"NC_010154.1 Acidianus filamentous virus 8, complete genome",38179
NC_010165.1,"NC_010165.1 Citrus viroid V, complete genome",294
NC_010178.1,"NC_010178.1 Pineapple mealybug wilt-associated virus 1, complete genome",13071
NC_010179.2,"NC_010179.2 Lactobacillus johnsonii prophage Lj771, complete genome",40881
NC_010191.2,"NC_010191.2 Ostreococcus tauri virus OtV5, complete genome",186713
NC_010226.1,"NC_010226.1 Canine papillomavirus 4, complete genome",7742
NC_010235.1,"NC_010235.1 Pepper leaf curl virus satellite DNA beta, complete genome",1361
NC_010236.1,"NC_010236.1 Tomato leaf curl Joydebpur virus satellite DNA beta, complete genome",1370
NC_010237.1,"NC_010237.1 Enterobacteria phage Min27, complete genome",63395
NC_010239.1,"NC_010239.1 Radish leaf curl virus satellite DNA beta, complete genome",1358
NC_010240.1,"NC_010240.1 Helicoverpa armigera granulovirus, complete genome",169794
NC_010246.1,"NC_010246.1 Magnaporthe oryzae virus 2, complete genome",5193
NC_010275.2,"NC_010275.2 Vibrio phage kappa proviral DNA, complete genome",33507
NC_010276.1,"NC_010276.1 Orgyia leucostigma NPV, complete genome",156179
NC_010277.2,"NC_010277.2 Merkel cell polyomavirus isolate R17b, complete genome",5387
NC_010295.1,"NC_010295.1 Phaius virus X, complete genome",5816
NC_010297.1,"NC_010297.1 Cardiospermum yellow leaf curl virus satellite DNA beta, complete genome",1338
NC_010305.1,"NC_010305.1 Ligustrum necrotic ringspot virus, complete genome",8412
NC_010306.1,"NC_010306.1 Gill-associated virus, complete genome",26253
NC_010307.1,"NC_010307.1 Emilia yellow vein virus-[Fz1], complete genome",2725
NC_010308.1,"NC_010308.1 Persimmon viroid, complete genome",396
NC_010313.1,"NC_010313.1 Tomato leaf curl Ghana virus segment A, complete genome",2803
NC_010314.1,"NC_010314.1 Abaca bunchy top virus DNA-N, complete genome",1090
NC_010316.1,"NC_010316.1 Abaca bunchy top virus DNA-S, complete genome",1087
NC_010317.1,"NC_010317.1 Abaca bunchy top virus DNA-M, complete genome",1074
NC_010319.1,"NC_010319.1 Abaca bunchy top virus DNA-R, complete genome",1099
NC_010324.1,"NC_010324.1 Escherichia phage phiEco32, complete genome",77554
NC_010325.1,"NC_010325.1 Pseudomonas phage LUZ24, complete genome",45625
NC_010326.1,"NC_010326.1 Pseudomonas phage LUZ19, complete genome",43548
NC_010328.1,"NC_010328.1 Malachra yellow vein mosaic virus-associated satellite DNA beta, complete genome",1339
NC_010329.1,"NC_010329.1 Human papillomavirus type 88, complete genome",7326
NC_010342.1,"NC_010342.1 Halomonas phage phiHAP-1, complete genome",39245
NC_010352.1,"NC_010352.1 Eragrostis streak virus, complete genome",2746
NC_010353.1,"NC_010353.1 Streptococcus phage 858, complete genome",35543
NC_010354.1,"NC_010354.1 Bovine rhinitis B virus 1, complete genome",7556
NC_010355.1,"NC_010355.1 Azospirillum phage Cd, complete genome",62337
NC_010356.1,"NC_010356.1 Glossina pallidipes salivary gland hypertrophy virus, complete genome",190032
NC_010363.1,"NC_010363.1 Lactococcus phage asccphi28, complete genome",18762
NC_010391.1,"NC_010391.1 Salmonella phage Fels-1, complete genome",42723
NC_010392.1,"NC_010392.1 Phage Gifsy-1, complete genome",48491
NC_010393.1,"NC_010393.1 Phage Gifsy-2, complete genome",45840
NC_010415.1,"NC_010415.1 Enterovirus J strain 1631, complete genome",7351
NC_010416.1,"NC_010416.1 Asparagus virus 3, complete genome",6937
NC_010417.1,"NC_010417.1 Beet curly top Iran virus-[K], complete genome",2845
NC_010434.1,"NC_010434.1 Lolium latent virus, complete genome",7674
NC_010437.1,"NC_010437.1 Bat coronavirus 1A, complete genome",28326
NC_010438.1,"NC_010438.1 Miniopterus bat coronavirus HKU8, complete genome",28773
NC_010439.1,"NC_010439.1 Tomato leaf curl Cebu virus DNA-A, complete genome",2723
NC_010440.1,"NC_010440.1 Tomato leaf curl Mindanao virus DNA-A, complete genome",2761
NC_010441.2,"NC_010441.2 Tomato leaf curl Cotabato virus DNA-A, complete genome",2750
NC_010463.1,"NC_010463.1 Enterobacteria phage Fels-2, complete genome",33693
NC_010495.1,"NC_010495.1 Salmonella phage E1, complete genome",45051
NC_010521.1,"NC_010521.1 Squash vein yellowing virus, complete genome",9836
NC_010537.1,"NC_010537.1 Acidianus filamentous virus 9, complete genome",41172
NC_010538.1,"NC_010538.1 Hop mosaic virus, complete genome",8550
NC_010562.1,"NC_010562.1 Chapare virus segment S, complete sequence",3357
NC_010563.1,"NC_010563.1 Chapare virus segment L, complete sequence",7107
NC_010569.1,"NC_010569.1 Ludwigia leaf distortion betasatellite [India:Amadalavalasa:Hibiscus:2007], complete genome",1362
NC_010576.1,"NC_010576.1 Lactococcus phage 1706, complete genome",55597
NC_010583.1,"NC_010583.1 Enterobacteria phage EPS7, complete genome",111382
NC_010619.1,"NC_010619.1 Pepper leaf curl Yunnan virus satellite DNA beta, complete genome",1196
NC_010620.1,"NC_010620.1 Okra leaf curl disease associated DNA 1, complete genome",1388
NC_010624.1,"NC_010624.1 Sapovirus Mc10, complete genome",7458
NC_010646.1,"NC_010646.1 Beluga Whale coronavirus SW1, complete genome",31686
NC_010671.1,"NC_010671.1 Musca domestica salivary gland hypertrophy virus, complete genome",124279
NC_010700.1,"NC_010700.1 Whitewater Arroyo virus segment S, complete sequence",3316
NC_010701.1,"NC_010701.1 Tamiami virus segment S (small), complete genome",3533
NC_010703.1,"NC_010703.1 Whitewater Arroyo virus segment L, complete sequence",7132
NC_010704.1,"NC_010704.1 Thottapalayam virus segment S, complete sequence",1530
NC_010705.1,"NC_010705.1 Ceratocystis polonica partitivirus segment 1, complete genome",2315
NC_010706.1,"NC_010706.1 Ceratocystis polonica partitivirus, complete genome",2252
NC_010707.1,"NC_010707.1 Thottapalayam virus segment L, complete sequence",6581
NC_010708.1,"NC_010708.1 Thottapalayam virus segment M, complete sequence",3621
NC_010711.1,"NC_010711.1 Chronic bee paralysis virus RNA 1, complete genome",3674
NC_010712.1,"NC_010712.1 Chronic bee paralysis virus RNA 2, complete genome",2305
NC_010732.1,"NC_010732.1 Tobacco vein distorting virus, complete genome",5920
NC_010735.1,"NC_010735.1 Verbena virus Y, complete genome",9742
NC_010736.1,"NC_010736.1 Algerian watermelon mosaic virus, complete genome",9842
NC_010737.1,"NC_010737.1 Lamium leaf distortion associated virus, complete genome",7713
NC_010738.1,"NC_010738.1 Eupatorium vein clearing virus, complete genome",8463
NC_010739.1,"NC_010739.1 Ursus maritimus papillomavirus 1, complete genome",7582
NC_010756.1,"NC_010756.1 Parana virus segment S (small), complete genome",3406
NC_010757.1,"NC_010757.1 Flexal virus segment S, complete sequence",3410
NC_010759.1,"NC_010759.1 Flexal virus segment L, complete sequence",7038
NC_010792.1,"NC_010792.1 Ramie mosaic virus DNA-B, complete genome",2708
NC_010797.1,"NC_010797.1 Urochloa streak virus, complete genome",2736
NC_010799.1,"NC_010799.1 Oat dwarf virus, complete genome",2740
NC_010800.1,"NC_010800.1 Turkey coronavirus, complete genome",27657
NC_010806.1,"NC_010806.1 Rose spring dwarf-associated virus, complete genome",5808
NC_010807.1,"NC_010807.1 Salmonella phage phiSG-JL2, complete genome",38815
NC_010808.1,"NC_010808.1 Staphylococcus phage phiMR25 DNA, complete genome",44342
NC_010809.1,"NC_010809.1 Melon aphid-borne yellows virus, complete genome",5674
NC_010810.1,"NC_010810.1 Saffold virus 2, complete genome",7961
NC_010811.2,"NC_010811.2 Ralstonia phage RSL1, complete genome",231255
NC_010817.1,"NC_010817.1 Bandicoot papillomatosis carcinomatosis virus type 2, complete genome",7277
NC_010820.1,"NC_010820.1 Simian foamy virus 3, complete genome",13111
NC_010821.1,"NC_010821.1 Pseudomonas phage 201phi2-1, complete genome",316674
NC_010832.1,"NC_010832.1 Lettuce virus X, complete genome",7212
NC_010833.1,"NC_010833.1 Tomato mild mosaic virus DNA-A, complete genome",2708
NC_010834.1,"NC_010834.1 Tomato mild mosaic virus DNA-B, complete genome",2663
NC_010835.1,"NC_010835.1 Tomato common mosaic virus DNA-A, complete genome",2560
NC_010836.1,"NC_010836.1 Tomato common mosaic virus DNA-B, complete genome",2498
NC_010837.1,"NC_010837.1 Blainvillea yellow spot virus DNA-A, complete genome",2666
NC_010838.1,"NC_010838.1 Blainvillea yellow spot virus DNA-B, complete genome",2634
NC_010944.1,"NC_010944.1 Brugmansia mild mottle virus, complete genome",6381
NC_010945.1,"NC_010945.1 Streptococcus phage PH15, complete genome",39136
NC_010947.1,"NC_010947.1 Allamanda leaf curl virus DNA-A, complete genome",2755
NC_010949.1,"NC_010949.1 Tomato yellow vein streak virus DNA-A, complete genome",2561
NC_010950.1,"NC_010950.1 Tomato yellow vein streak virus DNA-B, complete genome",2569
NC_010954.1,"NC_010954.1 Fritillary virus Y, complete genome",9656
NC_010955.1,"NC_010955.1 Xenopus laevis endogenous retrovirus Xen1, complete genome",10207
NC_010956.1,"NC_010956.1 Human adenovirus D, complete genome",35083
NC_011019.1,"NC_011019.1 Mycobacterium phage KBG, complete genome",53572
NC_011020.1,"NC_011020.1 Mycobacterium phage Jasper, complete genome",50968
NC_011021.1,"NC_011021.1 Mycobacterium phage Lockley, complete genome",51478
NC_011022.1,"NC_011022.1 Mycobacterium phage DD5, complete genome",51621
NC_011023.1,"NC_011023.1 Mycobacterium phage Pukovnik, complete genome",52892
NC_011024.1,"NC_011024.1 TYLCAxV-Sic1-[IT:Sic2/2:04], complete genome",2771
NC_011038.1,"NC_011038.1 Yersinia phage Yepe2, complete genome",38677
NC_011039.1,"NC_011039.1 Mycobacterium phage Predator, complete genome",70110
NC_011040.1,"NC_011040.1 Enterobacteria phage BA14, complete genome",39816
NC_011042.1,"NC_011042.1 Enterobacteria phage EcoDS1, complete genome",39252
NC_011043.1,"NC_011043.1 Klebsiella phage K11, complete genome",41181
NC_011044.1,"NC_011044.1 Mycobacterium phage Nigel, complete genome",69904
NC_011045.1,"NC_011045.1 Enterobacteria phage 13a, complete genome",38841
NC_011046.1,"NC_011046.1 Lactococcus phage bIBB29, complete genome",29305
NC_011048.1,"NC_011048.1 Bacillus phage phi29, complete genome",19282
NC_011050.1,"NC_011050.1 Steller sea lion vesivirus, complete genome",8305
NC_011051.1,"NC_011051.1 Capreolus capreolus papillomavirus 1, complete genome",8032
NC_011052.2,"NC_011052.2 Sweet potato leaf curl Spain virus, complete genome",2780
NC_011054.1,"NC_011054.1 Mycobacterium phage Boomer, complete genome",58037
NC_011055.1,"NC_011055.1 Mycobacterium phage Porky, complete genome",76312
NC_011056.1,"NC_011056.1 Mycobacterium phage Kostya, complete genome",75811
NC_011057.1,"NC_011057.1 Mycobacterium phage Phaedrus, complete genome",68090
NC_011058.1,"NC_011058.1 Chickpea chlorotic dwarf virus, complete genome",2584
NC_011062.1,"NC_011062.1 Potato virus T, complete genome",6539
NC_011085.3,"NC_011085.3 Morganella phage MmP1, complete genome",38457
NC_011086.1,"NC_011086.1 Diascia yellow mottle virus, complete genome",6290
NC_011097.2,"NC_011097.2 Cycad leaf necrosis virus, complete genome",9227
NC_011103.1,"NC_011103.1 Rhizobium phage 16-3, complete genome",60195
NC_011104.1,"NC_011104.1 Lactobacillus phage Lrm1, complete genome",39989
NC_011105.1,"NC_011105.1 Pseudomonas phage PT5, complete genome",42954
NC_011106.1,"NC_011106.1 Grapevine virus E, complete genome",7564
NC_011107.1,"NC_011107.1 Pseudomonas phage PT2, complete genome",42961
NC_011108.1,"NC_011108.1 Cocksfoot mild mosaic virus, complete genome",4198
NC_011109.1,"NC_011109.1 Tursiops truncatus papillomavirus type 1, complete genome",8089
NC_011132.1,"NC_011132.1 Sputnik virophage, complete genome",18343
NC_011135.1,"NC_011135.1 Tomato leaf curl Kerala virus, complete genome",2767
NC_011142.1,"NC_011142.1 Iodobacteriophage phiPLPE, complete genome",47453
NC_011165.1,"NC_011165.1 Pseudomonas phage LBL3, complete genome",64427
NC_011166.1,"NC_011166.1 Pseudomonas phage LMA2, complete genome",66530
NC_011167.1,"NC_011167.1 Bacillus phage IEBH, complete genome",53104
NC_011183.1,"NC_011183.1 Feldmannia species virus, complete genome",154641
NC_011187.1,"NC_011187.1 Rubus chlorotic mottle virus, complete genome",3983
NC_011189.1,"NC_011189.1 Mikania micrantha mosaic virus RNA2, complete genome",3418
NC_011190.1,"NC_011190.1 Mikania micrantha mosaic virus RNA1, complete genome",5862
NC_011201.1,"NC_011201.1 Ralstonia phage RSB1, complete genome",43079
NC_011202.1,"NC_011202.1 Human adenovirus B2, complete genome",34794
NC_011203.1,"NC_011203.1 Human adenovirus B1, complete genome",35343
NC_011216.1,"NC_011216.1 Burkholderia phage KS10, complete genome",37635
NC_011217.1,"NC_011217.1 Sulfolobus spindle-shaped virus 5, complete genome",15330
NC_011222.1,"NC_011222.1 Bacteroides phage B40-8, complete genome",44929
NC_011267.1,"NC_011267.1 Mycobacterium phage Solon, complete genome",49487
NC_011268.1,"NC_011268.1 Jatropha leaf curl virus DNA A, complete genome",2743
NC_011269.2,"NC_011269.2 Mycobacterium phage ScottMcG, complete genome",154017
NC_011270.1,"NC_011270.1 Mycobacterium phage Spud, complete genome",154906
NC_011271.1,"NC_011271.1 Mycobacterium phage Cali, complete genome",155372
NC_011272.1,"NC_011272.1 Mycobacterium phage Rizal, complete genome",153894
NC_011273.1,"NC_011273.1 Mycobacterium phage Myrna, complete genome",164602
NC_011280.1,"NC_011280.1 Sus scrofa papillomavirus type 1, complete genome",7260
NC_011285.1,"NC_011285.1 Mycobacterium phage Troll4, complete genome",64618
NC_011287.1,"NC_011287.1 Mycobacterium phage Pacc40, complete genome",58554
NC_011288.1,"NC_011288.1 Mycobacterium phage Fruitloop, complete genome",58471
NC_011289.1,"NC_011289.1 Mycobacterium phage Ramsey, complete genome",58578
NC_011290.1,"NC_011290.1 Mycobacterium phage Gumball, complete genome",64807
NC_011291.1,"NC_011291.1 Mycobacterium phage Brujita, complete genome",47057
NC_011292.1,"NC_011292.1 Mycobacterium phage Konstantine, complete genome",68952
NC_011308.1,"NC_011308.1 Listeria phage P40, complete genome",35638
NC_011310.1,"NC_011310.1 Myotis polyomavirus VM-2008, complete genome",5081
NC_011317.1,"NC_011317.1 Anopheles gambiae densonucleosis virus, complete genome",4139
NC_011318.1,"NC_011318.1 Clostridium phage 39-O, complete genome",38753
NC_011344.1,"NC_011344.1 Staphylococcus phage phi2958PVL, complete genome",47342
NC_011345.1,"NC_011345.1 Agrotis ipsilon multiple nucleopolyhedrovirus, complete genome",155122
